season,team,playoffs,age,Strength of Schedule,o_rtg,d_rtg,pace,f_tr,3pt Attempt Rate,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,drb_percent,opp_ft_fga,attend_g
2022,Detroit Pistons,FALSE,23.6,0.37,106,113.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,16184
2022,Golden State Warriors,TRUE,27.6,-0.02,112.5,106.9,98.4,0.235,0.456,0.582,0.552,13.5,22.8,0.181,0.509,13,78.7,0.201,18064
2022,Houston Rockets,FALSE,24.1,0.22,108.4,116.7,100.9,0.284,0.448,0.565,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,15585
2022,Indiana Pacers,FALSE,26,0.22,112.6,116.1,98,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,14360
2022,Los Angeles Clippers,FALSE,27.5,0.06,110.1,110.1,98,0.224,0.391,0.564,0.531,12.5,20.6,0.178,0.514,12,74.4,0.167,16927
2022,Los Angeles Lakers,FALSE,30.2,-0.03,110.3,113.3,100.1,0.259,0.388,0.567,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,18650
2022,Memphis Grizzlies,TRUE,24,-0.32,114.6,109,100.3,0.245,0.346,0.553,0.522,11.2,30,0.18,0.523,13.3,77.8,0.195,15775
2022,Miami Heat,TRUE,28.2,-0.22,113.7,109.1,95.9,0.252,0.422,0.584,0.547,13.4,23.5,0.204,0.524,13.8,78,0.209,19628
2022,Milwaukee Bucks,TRUE,28.5,-0.14,115.1,111.8,99.9,0.257,0.43,0.58,0.546,11.9,23,0.199,0.536,11.6,78.6,0.165,17453
2022,Minnesota Timberwolves,TRUE,24.2,-0.1,114.3,111.7,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,16028
2022,New Orleans Pelicans,TRUE,25.6,0.15,112,113,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.208,0.547,13,78.2,0.196,15511
2022,New York Knicks,FALSE,26,0.11,110.4,110.5,95.9,0.28,0.428,0.55,0.513,12,25.1,0.208,0.521,11.7,78.8,0.198,18622
2022,Oklahoma City Thunder,FALSE,22.4,0.2,104.6,112.8,98.6,0.223,0.419,0.53,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,14515
2022,Orlando Magic,FALSE,23.3,0.33,104.5,112.5,99.2,0.223,0.417,0.538,0.503,13,19.8,0.175,0.532,11.7,77.2,0.196,15192
2022,Philadelphia 76ers,TRUE,26.8,-0.04,113.5,110.8,96.2,0.282,0.376,0.578,0.534,11.6,20.1,0.232,0.524,12.1,76.8,0.192,20655
2022,Phoenix Suns,TRUE,27.5,-0.56,114.8,107.3,99.8,0.221,0.354,0.581,0.549,11.6,22.3,0.176,0.51,13,77.1,0.195,16175
2022,Portland Trail Blazers,FALSE,25.6,0.33,107.8,116.9,98.3,0.248,0.422,0.55,0.515,13,22.9,0.188,0.559,12.7,76.9,0.222,17210
2022,Sacramento Kings,FALSE,25.8,0.2,109.9,115.3,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76,0.176,14087
2022,San Antonio Spurs,FALSE,24.5,-0.1,112.4,112.3,100,0.22,0.345,0.556,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,15014
2022,Toronto Raptors,TRUE,24.8,0.08,112.9,110.5,96,0.234,0.375,0.543,0.51,11,28.4,0.177,0.535,14.4,75.6,0.199,13350
2022,Utah Jazz,TRUE,29.3,-0.37,116.7,110.5,97.1,0.271,0.468,0.589,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,18306
2022,Washington Wizards,FALSE,25.9,0.15,111.1,114.5,97,0.252,0.356,0.568,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,15542
2021,Atlanta Hawks,TRUE,25.4,-0.18,115.7,113.3,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,1647
2021,Boston Celtics,TRUE,25.1,-0.14,114,112.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,835
2021,Brooklyn Nets,TRUE,28.2,-0.27,118.3,113.8,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,847
2021,Chicago Bulls,FALSE,25.6,-0.05,111.1,112,99,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,379
2021,Charlotte Hornets,FALSE,24.6,-0.01,110.9,112.8,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,1896
2021,Cleveland Cavaliers,FALSE,24,0.25,105.8,114.4,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13,76.6,0.183,2541
2021,Dallas Mavericks,TRUE,26.3,-0.01,115.4,113,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,2635
2021,Denver Nuggets,TRUE,26.1,-0.11,117.1,112.1,97.1,0.219,0.383,0.588,0.557,12.1,24.7,0.176,0.545,12.9,78.9,0.2,1516
2021,Detroit Pistons,FALSE,24.5,0.09,108,112.5,97.9,0.273,0.385,0.556,0.519,13.5,21.9,0.207,0.541,12.6,76.9,0.195,396
2021,Golden State Warriors,FALSE,26.7,0.04,111.1,110.1,102.2,0.239,0.439,0.583,0.551,13.3,17.9,0.188,0.522,13.1,76.6,0.223,929
2021,Houston Rockets,FALSE,26.5,0.4,107.1,114.9,101.4,0.252,0.459,0.553,0.521,13,19.8,0.187,0.555,12.9,77.1,0.201,3250
2021,Indiana Pacers,FALSE,26.5,-0.08,112.4,112.4,101.6,0.227,0.372,0.575,0.542,11.9,20.2,0.18,0.531,12.7,74.9,0.201,NA
2021,Los Angeles Clippers,TRUE,28.8,-0.16,117.6,111.2,96.9,0.222,0.4,0.599,0.564,12.2,22.7,0.186,0.531,11.9,79.1,0.186,386
2021,Los Angeles Lakers,TRUE,28.2,-0.03,109.9,107.1,98.7,0.271,0.363,0.569,0.536,13.6,22.5,0.2,0.526,13.7,79.7,0.184,648
2021,Memphis Grizzlies,TRUE,24.2,0.04,112,111,100.4,0.232,0.342,0.56,0.528,11.6,24.2,0.179,0.535,13.1,78.3,0.196,1707
2021,Miami Heat,TRUE,27.4,-0.09,111.2,111.2,96.6,0.252,0.432,0.581,0.546,13.1,19.4,0.199,0.542,13.8,77.9,0.183,NA
2021,Milwaukee Bucks,TRUE,28.1,-0.32,117.2,111.4,102.2,0.233,0.404,0.593,0.566,12,23.3,0.177,0.536,11.5,79.7,0.157,1799
2021,Minnesota Timberwolves,FALSE,23.2,0.31,109.5,115,101.6,0.254,0.413,0.555,0.52,12.4,22.7,0.193,0.556,13.3,76.8,0.207,438
2021,New Orleans Pelicans,FALSE,24.8,0.1,113.5,113.8,100.1,0.293,0.342,0.57,0.537,12.7,26.3,0.214,0.55,11.9,80,0.186,2587
2021,New York Knicks,TRUE,25.6,-0.18,110.6,108.2,95.9,0.242,0.347,0.559,0.524,11.9,21.9,0.19,0.509,11.7,78.6,0.196,1170
2021,Oklahoma City Thunder,FALSE,22.8,0.51,103.5,114,101,0.242,0.399,0.539,0.509,14.2,21.2,0.176,0.547,11.5,77.9,0.167,NA
2021,Orlando Magic,FALSE,25.6,0.29,105.1,114.5,98.7,0.24,0.356,0.527,0.49,11.5,21.6,0.186,0.547,11.5,78.2,0.169,3513
2021,Philadelphia 76ers,TRUE,27.1,-0.31,113.2,107.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,1905
2021,Phoenix Suns,TRUE,26.6,-0.15,117.2,111.3,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,2890
2021,Portland Trail Blazers,TRUE,27.4,0.01,117.8,116,98.4,0.238,0.448,0.577,0.54,9.9,23,0.195,0.546,11.2,77.5,0.203,162
2021,Sacramento Kings,FALSE,25.6,0.23,113.6,117.2,100,0.248,0.376,0.578,0.549,12,21.3,0.185,0.557,12.1,75,0.199,NA
2021,San Antonio Spurs,FALSE,26.2,0.15,111,112.8,98.9,0.243,0.314,0.554,0.517,10.2,20,0.192,0.541,11.8,77.3,0.174,1696
2021,Toronto Raptors,FALSE,26.6,-0.07,112,112.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,723
2021,Utah Jazz,TRUE,28.5,-0.29,117.6,108.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,4203
2021,Washington Wizards,TRUE,26.6,-0.01,111.2,113,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,533
2020,Atlanta Hawks,FALSE,24.1,0.27,107.2,114.8,103,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,16043
2020,Boston Celtics,TRUE,25.3,-0.47,113.3,107,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,19090
2020,Brooklyn Nets,TRUE,26.3,-0.44,108.9,109.5,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11,77.8,0.187,16403
2020,Chicago Bulls,FALSE,24.4,-0.93,106.7,109.8,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,18804
2020,Charlotte Hornets,FALSE,24.3,-0.28,106.3,113.3,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,15428
2020,Cleveland Cavaliers,FALSE,25,0.12,107.5,115.4,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,17861
2020,Dallas Mavericks,TRUE,26.1,-0.07,116.7,111.7,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,20062
2020,Denver Nuggets,TRUE,25.6,0.24,113.1,111,97.1,0.235,0.344,0.567,0.535,12.3,24.8,0.183,0.533,12.9,76.8,0.198,19186
2020,Detroit Pistons,FALSE,25.9,-0.82,109,112.7,97.6,0.261,0.381,0.561,0.529,13.8,22.6,0.194,0.541,12.7,75.9,0.186,15294
2020,Golden State Warriors,FALSE,24.4,0.59,105.2,113.8,100.3,0.264,0.355,0.54,0.497,13.2,21.5,0.212,0.553,13.7,76.4,0.193,18064
